title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
2876,A Man's Man,DRAMA,"Dogado,Lucas,Ha Neulso",THURSDAY,39,96324,9.82,1919353,314544,ONGOING,False,"Yuhyeon becomes the youngest CEO of Hansung, a successful electronics company built on toxic work culture, but nobody he cares about is there to celebrate with him. After a night of drinking and wondering if he could change the past, he wakes up the next morning, 20 years younger at the beginning of his career. Armed with the experience and insights that made him CEO, Yuhyeon begins to revisit broken relationships and battle the enablers of Hansung’s cut-throat work environment. But he does not yet know how changing the past will affect his future...
"
2875,Her Mannequin,ROMANCE,ST,TUESDAY,24,243913,9.28,3682557,503092,HIATUS,False,"A walking, talking mannequin. Is this an opportunity to use, or an opportunity to be used? Bora simply wants a chance to get close to the fashion designer, Hongrin Da. Yet it would seem that Hongrin wants something more from Bora. Will Bora’s struggles to become a fashion designer pull at Hongrin’s heartstrings? If she even has any to begin with..."
2874,The Dummy's Dummy,HORROR,Mochamura,WEDNESDAY,9,130987,9.79,1025490,163985,ONGOING,False,"The story of a psychic girl named Yumi, an eerie living puppet named Paris, and the strange and often deadly monsters they face off against. Ghosts, ghouls, and... possessed teddy bears? Oh, my!"
2858,Behind the Curtain,ROMANCE,dagwa,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",5,107968,8.43,1369298,169518,COMPLETED,True,"Juyeon has a crush on the new recruit to the theater club, Sol. Things seem to be going well until Juyeon’s ex girlfriend, Minkyeong, joins the club and approaches Juyeon with questionable intentions. As if running into Minkyeong wasn’t enough, the trio are asked to perform in a play, “The Maids” by Jean Genet, for the annual theater club performance. Will Juyeon be able to unravel their tangled relationships and find love?"
2857,Villain to Kill,ACTION,"Fupin,Eunji",TUESDAY,39,850930,9.78,26922254,2402547,ONGOING,False,"There are two kinds of people with special abilities: villains, who are driven by their evil desires, and psykers, who pursue justice and work against villains. Cassian Lee is a very powerful psyker with a good heart. But one day, when he visits his friend in Greece, things take a wrong turn. Following an unexpected chain of events, Cassian ends up in the body of a Korean high school boy... who has just become a villain! Will his sense of justice win in the end or will he end up becoming a cold-blooded villain?
"
2856,Love Falls Like Rain,ROMANCE,Yeri,WEDNESDAY,38,147630,9.55,2516777,405323,HIATUS,False,"When Sarang discovers a mysterious yellow umbrella left by her doorstep, she doesn’t think much of it. But one rainy evening she opens her umbrella and is magically transported to Albia where she runs into two men, one of whom could potentially be her soulmate. Will Sarang be able to find her true love in a foreign land on the other side of the globe?"
2855,How to Survive a Romance Fantasy,FANTASY,sing-nanda,MONDAY,36,373786,9.39,6365158,955596,ONGOING,False,"What would you do if you were reincarnated as one of the main protagonists in the romantic fantasy (“rom-fan”) novel you’ve been reading? Do everything in your power to keep the story on track and save the day to be crowned as empress? Make amends for all the treacherous things your villainous character did to change her fate of demise? Hone your magical powers and valiantly fight for the empire as a dashing imperial crown prince should? Umm, nah. When Yeonghui, Ji-eun, and Cheolsu find themselves in this predicament, they have other plans. Will their choices alter the course of this rom-fan world for good or for worse?"
2854,Grasp,THRILLER,Jeonghoon Hwang,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",7,94730,9.54,1963080,251144,COMPLETED,True,"Sojin Yeon, a temporary employee who posts her daily work life on her vlog, gets caught in the midst of a messy crime scene after the murder of her assistant manager. Her viewer ratings are escalating along with the shadows of her past latching onto her from moving forward. Can she break free from the mysterious crimes that are continuously occurring around her?"
2851,Neolithic Girl,FANTASY,"JAEAH,GARAM HAN",TUESDAY,38,260937,9.36,4275366,575420,ONGOING,False,"What would you do if you could live forever? Suki Kang has lived for over 10,000 years, yet always seems to make the same mistake -- she wants to save others from certain death. This time, she chooses to help veterinarian Jaeshin Lee with his terminal cancer prognosis. But the great clans of Baekje are dead set on finding out the secret to her immortality and healing powers. Will she be able to save her beloved doctor, or will the clans get to her first?"
2850,Hanlim Gym,SPORTS,"Hyeseong,Sukjae Lee",SUNDAY,39,169728,9.42,4586141,422773,ONGOING,False,"Tired of being picked on, Yeongha, the new transfer student, decides to fight back… and discovers he can pack a punch. He soon becomes the top of the food chain, savoring his new title as the toughest guy at school. But he meets his match when Suho Kang, the Champion of the PVP games, single-handedly takes down him and his crew. To earn back his honor, Yeongha decides to join the PVP games. Will he finally get the satisfaction of beating Suho up? Or will he gain something more?
"
